group,variable,value,,,,
Diminished socialising / mental wellbeing,Female,0.106654231,,,,
Diminished socialising / mental wellbeing,Male,0.610168559,,,,
Diminished socialising / mental wellbeing,Line manager,0.33836591,,,,
Diminished socialising / mental wellbeing,Non-line manager,0.25213309,,,,
Diminished socialising / mental wellbeing,Customer facing,0.75790922,,,,
Diminished socialising / mental wellbeing,Non-customer facing,0.745415695,,,,
Diminished socialising / mental wellbeing,Permanent full-time,0.416025322,,,,
Diminished socialising / mental wellbeing,Permanent part-time,0.980938526,,,,
Diminished socialising / mental wellbeing,Fixed term contractor,0.423078921,,,,
Diminished socialising / mental wellbeing,Working primarily from home,0.421774975,,,,
Diminished socialising / mental wellbeing,Working primarily on-site,0.645723243,,,,
Diminished socialising / mental wellbeing,Splite between home and on-site,0.121861113,,,,
Diminished socialising / mental wellbeing,No religion,0.065566348,,,,
Diminished socialising / mental wellbeing,Christianity,0.667103158,,,,
Diminished socialising / mental wellbeing,Minority religions in the UK,0.565792743,,,,
Diminished socialising / mental wellbeing,Lower socio-economic backgrounds,0.49464992,,,,
Diminished socialising / mental wellbeing,Intermediate backgrounds,0.725040516,,,,
Diminished socialising / mental wellbeing,Professional backgrounds,0.731604484,,,,
Diminished socialising / mental wellbeing,24 or under,0.220094001,,,,
Diminished socialising / mental wellbeing,25 - 34,0.294889298,,,,
Diminished socialising / mental wellbeing,35 - 44,0.242940204,,,,
Diminished socialising / mental wellbeing,45 - 54,0.569611194,,,,
Diminished socialising / mental wellbeing,55 - 64,0.759050686,,,,
Diminished socialising / mental wellbeing,65 or over,0.770940717,,,,
Tech-related fatigue,White - British,0.262541245,,,,
Tech-related fatigue,Asian / Asian British,0.491895172,,,,
Tech-related fatigue,White – Other,0.991548362,,,,
Tech-related fatigue,Mixed / Multiple ethnic group,0.74812668,,,,
Tech-related fatigue,Black / Black British,0.08744705,,,,
Tech-related fatigue,With a disability,0.918303901,,,,
Tech-related fatigue,Without a disability,0.262283776,,,,
Tech-related fatigue,"Bi, Gay or Lesbian",0.592543467,,,,
Tech-related fatigue,Heterosexual/Straight,0.629974322,,,,
Tech-related fatigue,Female,0.872276451,,,,
Tech-related fatigue,Male,0.460503922,,,,
Tech-related fatigue,Line manager,0.09054086,,,,
Tech-related fatigue,Non-line manager,0.999102076,,,,
Tech-related fatigue,Customer facing,0.209839896,,,,
Tech-related fatigue,Non-customer facing,0.79613551,,,,
Tech-related fatigue,Permanent full-time,0.457437436,,,,
Tech-related fatigue,Permanent part-time,0.99273911,,,,
Tech-related fatigue,Fixed term contractor,0.854047234,,,,
Tech-related fatigue,Working primarily from home,0.673530482,,,,
Tech-related fatigue,Working primarily on-site,0.361108802,,,,
Tech-related fatigue,Splite between home and on-site,0.937345505,,,,
Tech-related fatigue,No religion,0.37637411,,,,
Tech-related fatigue,Christianity,0.322782,,,,
Tech-related fatigue,Minority religions in the UK,0.795667459,,,,
Tech-related fatigue,Lower socio-economic backgrounds,0.193642255,,,,
Tech-related fatigue,Intermediate backgrounds,0.11287058,,,,
Tech-related fatigue,Professional backgrounds,0.155287518,,,,
Tech-related fatigue,24 or under,0.629955106,,,,
Tech-related fatigue,25 - 34,0.235152967,,,,
Tech-related fatigue,35 - 44,0.338886541,,,,
Tech-related fatigue,45 - 54,0.093648583,,,,
Tech-related fatigue,55 - 64,0.38236078,,,,
Tech-related fatigue,65 or over,0.321547053,,,,
Inadequate systems,White - British,0.150721259,,,,
Inadequate systems,Asian / Asian British,0.716815563,,,,
Inadequate systems,White – Other,0.298314526,,,,
Inadequate systems,Mixed / Multiple ethnic group,0.850223915,,,,
Inadequate systems,Black / Black British,0.368257867,,,,
Inadequate systems,With a disability,0.479135924,,,,
Inadequate systems,Without a disability,0.190872473,,,,
Inadequate systems,"Bi, Gay or Lesbian",0.07546835,,,,
Inadequate systems,Heterosexual/Straight,0.685654645,,,,
Inadequate systems,Female,0.856414023,,,,
Inadequate systems,Male,0.258154474,,,,
Inadequate systems,Line manager,0.473422485,,,,
Inadequate systems,Non-line manager,0.341678251,,,,
Inadequate systems,Customer facing,0.877566997,,,,
Inadequate systems,Non-customer facing,0.040830573,,,,
Inadequate systems,Permanent full-time,0.986568588,,,,
Inadequate systems,Permanent part-time,0.455180165,,,,
Inadequate systems,Fixed term contractor,0.550704638,,,,
Inadequate systems,Working primarily from home,0.543846046,,,,
Inadequate systems,Working primarily on-site,0.633198155,,,,
Inadequate systems,Splite between home and on-site,0.888404775,,,,
Inadequate systems,No religion,0.113322426,,,,
Inadequate systems,Christianity,0.874961999,,,,
Inadequate systems,Minority religions in the UK,0.323396228,,,,
Inadequate systems,Lower socio-economic backgrounds,0.798947455,,,,
Inadequate systems,Intermediate backgrounds,0.264859887,,,,
Inadequate systems,Professional backgrounds,0.689167112,,,,
Inadequate systems,24 or under,0.175427893,,,,
Inadequate systems,25 - 34,0.36490472,,,,
Inadequate systems,35 - 44,0.268355029,,,,
Inadequate systems,45 - 54,0.121722656,,,,
Inadequate systems,55 - 64,0.366598526,,,,
Inadequate systems,65 or over,0.647366687,,,,
Concerns about the office,White - British,0.480061594,,,,
Concerns about the office,Asian / Asian British,0.832566941,,,,
Concerns about the office,White – Other,0.686747578,,,,
Concerns about the office,Mixed / Multiple ethnic group,0.711544568,,,,
Concerns about the office,Black / Black British,0.114611145,,,,
Concerns about the office,With a disability,0.937872748,,,,
Concerns about the office,Without a disability,0.30065833,,,,
Concerns about the office,"Bi, Gay or Lesbian",0.35639938,,,,
Concerns about the office,Heterosexual/Straight,0.699787934,,,,
Concerns about the office,Female,0.737653796,,,,
Concerns about the office,Male,0.750594811,,,,
Concerns about the office,Line manager,0.919340194,,,,
Concerns about the office,Non-line manager,0.28745296,,,,
Concerns about the office,Customer facing,0.23283809,,,,
Concerns about the office,Non-customer facing,0.781056751,,,,
Concerns about the office,Permanent full-time,0.418826482,,,,
Concerns about the office,Permanent part-time,0.906126553,,,,
Concerns about the office,Fixed term contractor,0.608156881,,,,
Concerns about the office,Working primarily from home,0.544128321,,,,
Concerns about the office,Working primarily on-site,0.690963558,,,,
Concerns about the office,Splite between home and on-site,0.103875833,,,,
Concerns about the office,No religion,0.171589085,,,,
Concerns about the office,Christianity,0.373847821,,,,
Concerns about the office,Minority religions in the UK,0.352743993,,,,
Concerns about the office,Lower socio-economic backgrounds,0.693688178,,,,
Concerns about the office,Intermediate backgrounds,0.940903754,,,,
Concerns about the office,Professional backgrounds,0.136570972,,,,
Concerns about the office,24 or under,0.128369671,,,,
Concerns about the office,25 - 34,0.376795328,,,,
Concerns about the office,35 - 44,0.556839296,,,,
Concerns about the office,45 - 54,0.644902777,,,,
Concerns about the office,55 - 64,0.066692179,,,,
Concerns about the office,65 or over,0.105292974,,,,
Working from home,White - British,0.039362803,,,,
Working from home,Asian / Asian British,0.393411622,,,,
Working from home,White – Other,0.55496189,,,,
Working from home,Mixed / Multiple ethnic group,0.850171981,,,,
Working from home,Black / Black British,0.045506786,,,,
Working from home,With a disability,0.684292125,,,,
Working from home,Without a disability,0.403483279,,,,
Working from home,"Bi, Gay or Lesbian",0.153487484,,,,
Working from home,Heterosexual/Straight,0.146464134,,,,
Working from home,Female,0.809393904,,,,
Working from home,Male,0.595434898,,,,
Working from home,Line manager,0.081529515,,,,
Working from home,Non-line manager,0.460147362,,,,
Working from home,Customer facing,0.067011501,,,,
Working from home,Non-customer facing,0.31526174,,,,
Working from home,Permanent full-time,0.269914234,,,,
Working from home,Permanent part-time,0.53436108,,,,
Working from home,Fixed term contractor,0.43651604,,,,
Working from home,Working primarily from home,0.009872875,,,,
Working from home,Working primarily on-site,0.672251503,,,,
Working from home,Splite between home and on-site,0.608412835,,,,
Working from home,No religion,0.468849853,,,,
Working from home,Christianity,0.549314572,,,,
Working from home,Minority religions in the UK,0.303714635,,,,
Working from home,Lower socio-economic backgrounds,0.407852981,,,,
Working from home,Intermediate backgrounds,0.862535407,,,,
Working from home,Professional backgrounds,0.284948029,,,,
Working from home,24 or under,0.348165204,,,,
Working from home,25 - 34,0.593426866,,,,
Working from home,35 - 44,0.382857929,,,,
Working from home,45 - 54,0.350858016,,,,
Working from home,55 - 64,0.694827639,,,,
Working from home,65 or over,0.397998659,,,,
Blurred work-life boundaries,White - British,0.685235235,,,,
Blurred work-life boundaries,Asian / Asian British,0.598020682,,,,
Blurred work-life boundaries,White – Other,0.6199935,,,,
Blurred work-life boundaries,Mixed / Multiple ethnic group,0.560768236,,,,
Blurred work-life boundaries,Black / Black British,0.266792561,,,,
Blurred work-life boundaries,With a disability,0.686779855,,,,
Blurred work-life boundaries,Without a disability,0.859169413,,,,
Blurred work-life boundaries,"Bi, Gay or Lesbian",0.919957875,,,,
Blurred work-life boundaries,Heterosexual/Straight,0.920943929,,,,
Blurred work-life boundaries,Female,0.896544658,,,,
Blurred work-life boundaries,Male,0.192517079,,,,
Blurred work-life boundaries,Line manager,0.747797777,,,,
Blurred work-life boundaries,Non-line manager,0.174729419,,,,
Blurred work-life boundaries,Customer facing,0.673398,,,,
Blurred work-life boundaries,Non-customer facing,0.519220816,,,,
Blurred work-life boundaries,Permanent full-time,0.630764661,,,,
Blurred work-life boundaries,Permanent part-time,0.621272783,,,,
Blurred work-life boundaries,Fixed term contractor,0.408610736,,,,
Blurred work-life boundaries,Working primarily from home,0.593216425,,,,
Blurred work-life boundaries,Working primarily on-site,0.814373813,,,,
Blurred work-life boundaries,Splite between home and on-site,0.23846883,,,,
Blurred work-life boundaries,No religion,0.099224444,,,,
Blurred work-life boundaries,Christianity,0.957793383,,,,
Blurred work-life boundaries,Minority religions in the UK,0.794250827,,,,
Blurred work-life boundaries,Lower socio-economic backgrounds,0.865948789,,,,
Blurred work-life boundaries,Intermediate backgrounds,0.862917758,,,,
Blurred work-life boundaries,Professional backgrounds,0.477773424,,,,
Blurred work-life boundaries,24 or under,0.223546542,,,,
Blurred work-life boundaries,25 - 34,0.918526382,,,,
Blurred work-life boundaries,35 - 44,0.619440736,,,,
Blurred work-life boundaries,45 - 54,0.440757625,,,,
Blurred work-life boundaries,55 - 64,0.376084382,,,,
Blurred work-life boundaries,65 or over,0.757524458,,,,
Excessive pressure / workload,White - British,0.537629987,,,,
Excessive pressure / workload,Asian / Asian British,0.705592587,,,,
Excessive pressure / workload,White – Other,0.426925419,,,,
Excessive pressure / workload,Mixed / Multiple ethnic group,0.048401321,,,,
Excessive pressure / workload,Black / Black British,0.16239119,,,,
Excessive pressure / workload,With a disability,0.940853803,,,,
Excessive pressure / workload,Without a disability,0.669542266,,,,
Excessive pressure / workload,"Bi, Gay or Lesbian",0.071699373,,,,
Excessive pressure / workload,Heterosexual/Straight,0.320833313,,,,
Excessive pressure / workload,Female,0.581912498,,,,
Excessive pressure / workload,Male,0.638457364,,,,
Excessive pressure / workload,Line manager,0.567354109,,,,
Excessive pressure / workload,Non-line manager,0.500408737,,,,
Excessive pressure / workload,Customer facing,0.426192681,,,,
Excessive pressure / workload,Non-customer facing,0.443836431,,,,
Excessive pressure / workload,Permanent full-time,0.781797944,,,,
Excessive pressure / workload,Permanent part-time,0.171807625,,,,
Excessive pressure / workload,Fixed term contractor,0.621356083,,,,
Excessive pressure / workload,Working primarily from home,0.415169211,,,,
Excessive pressure / workload,Working primarily on-site,0.706146053,,,,
Excessive pressure / workload,Splite between home and on-site,0.470881297,,,,
Excessive pressure / workload,No religion,0.872138829,,,,
Excessive pressure / workload,Christianity,0.412309387,,,,
Excessive pressure / workload,Minority religions in the UK,0.87745403,,,,
Excessive pressure / workload,Lower socio-economic backgrounds,0.214627581,,,,
Excessive pressure / workload,Intermediate backgrounds,0.069090041,,,,
Excessive pressure / workload,Professional backgrounds,0.789086139,,,,
Excessive pressure / workload,24 or under,0.081661256,,,,
Excessive pressure / workload,25 - 34,0.381603001,,,,
Excessive pressure / workload,35 - 44,0.494230817,,,,
Excessive pressure / workload,45 - 54,0.964662456,,,,
Excessive pressure / workload,55 - 64,0.492231587,,,,
Excessive pressure / workload,65 or over,0.863794624,,,,
Financial disatisfaction,White - British,0.207144727,,,,
Financial disatisfaction,Asian / Asian British,0.48546375,,,,
Financial disatisfaction,White – Other,0.21396743,,,,
Financial disatisfaction,Mixed / Multiple ethnic group,0.514881097,,,,
Financial disatisfaction,Black / Black British,0.987273736,,,,
Financial disatisfaction,With a disability,0.212629513,,,,
Financial disatisfaction,Without a disability,0.826254568,,,,
Financial disatisfaction,"Bi, Gay or Lesbian",0.951799273,,,,
Financial disatisfaction,Heterosexual/Straight,0.684149071,,,,
Financial disatisfaction,Female,0.76921543,,,,
Financial disatisfaction,Male,0.214471813,,,,
Financial disatisfaction,Line manager,0.812263978,,,,
Financial disatisfaction,Non-line manager,0.805506883,,,,
Financial disatisfaction,Customer facing,0.357713426,,,,
Financial disatisfaction,Non-customer facing,0.080888787,,,,
Financial disatisfaction,Permanent full-time,0.609113613,,,,
Financial disatisfaction,Permanent part-time,0.101449572,,,,
Financial disatisfaction,Fixed term contractor,0.745524305,,,,
Financial disatisfaction,Working primarily from home,0.610409623,,,,
Financial disatisfaction,Working primarily on-site,0.369993914,,,,
Financial disatisfaction,Splite between home and on-site,0.378447178,,,,
Financial disatisfaction,No religion,0.08555274,,,,
Financial disatisfaction,Christianity,0.214706987,,,,
Financial disatisfaction,Minority religions in the UK,0.778041494,,,,
Financial disatisfaction,Lower socio-economic backgrounds,0.599299167,,,,
Financial disatisfaction,Intermediate backgrounds,0.659678388,,,,
Financial disatisfaction,Professional backgrounds,0.415139339,,,,
Financial disatisfaction,24 or under,0.153974571,,,,
Financial disatisfaction,25 - 34,0.575025481,,,,
Financial disatisfaction,35 - 44,0.180631089,,,,
Financial disatisfaction,45 - 54,0.200496231,,,,
Financial disatisfaction,55 - 64,0.314498953,,,,
Financial disatisfaction,65 or over,0.804545711,,,,
Inadequate management,White - British,0.5073715,,,,
Inadequate management,Asian / Asian British,0.980198552,,,,
Inadequate management,White – Other,0.539395604,,,,
Inadequate management,Mixed / Multiple ethnic group,0.737333163,,,,
Inadequate management,Black / Black British,0.13522366,,,,
Inadequate management,With a disability,0.919028691,,,,
Inadequate management,Without a disability,0.725893936,,,,
Inadequate management,"Bi, Gay or Lesbian",0.74701055,,,,
Inadequate management,Heterosexual/Straight,0.034648335,,,,
Inadequate management,Female,0.006618753,,,,
Inadequate management,Male,0.427692723,,,,
Inadequate management,Line manager,0.702560855,,,,
Inadequate management,Non-line manager,0.187251704,,,,
Inadequate management,Customer facing,0.835010013,,,,
Inadequate management,Non-customer facing,0.064085506,,,,
Inadequate management,Permanent full-time,0.446493363,,,,
Inadequate management,Permanent part-time,0.939703166,,,,
Inadequate management,Fixed term contractor,0.491321529,,,,
Inadequate management,Working primarily from home,0.501806273,,,,
Inadequate management,Working primarily on-site,0.362572834,,,,
Inadequate management,Splite between home and on-site,0.603032114,,,,
Inadequate management,No religion,0.932073777,,,,
Inadequate management,Christianity,0.896140869,,,,
Inadequate management,Minority religions in the UK,0.407880459,,,,
Inadequate management,Lower socio-economic backgrounds,0.804388304,,,,
Inadequate management,Intermediate backgrounds,0.049858112,,,,
Inadequate management,Professional backgrounds,0.338006445,,,,
Inadequate management,24 or under,0.577153838,,,,
Inadequate management,25 - 34,0.944869709,,,,
Inadequate management,35 - 44,0.200258644,,,,
Inadequate management,45 - 54,0.093572661,,,,
Inadequate management,55 - 64,0.738916867,,,,
Inadequate management,65 or over,0.799818977,,,,
